Filename,Touches
app/src/main/AndroidManifest.xml,12
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,6
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.kt,4
app/src/main/java/com/scottyab/rootbeer/sample/RootItemResult.kt,2
app/src/main/java/com/scottyab/rootbeer/sample/RootSampleApp.kt,3
app/src/main/java/com/scottyab/rootbeer/sample/extensions/ViewExtensions.kt,2
app/src/main/java/com/scottyab/rootbeer/sample/ui/ResultIconView.kt,2
app/src/main/java/com/scottyab/rootbeer/sample/ui/RootItemAdapter.kt,3
app/src/main/java/com/scottyab/rootbeer/sample/ui/RootedResultTextView.kt,2
app/src/main/java/com/scottyab/rootbeer/sample/ui/ScopedActivity.kt,2
app/src/main/res/drawable/ic_check_circle_green_24dp.xml,2
app/src/main/res/drawable/ic_error_circle_outline_red_24dp.xml,2
app/src/main/res/drawable/ic_info_outline_white_24dp.xml,2
app/src/main/res/drawable/ic_lock_open_white_24dp.xml,2
app/src/main/res/layout/activity_main.xml,16
app/src/main/res/layout/item_root_check.xml,2
app/src/main/res/menu/menu_main.xml,5
app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml,2
app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml,2
app/src/main/res/values/colors.xml,4
app/src/main/res/values/dimens.xml,4
app/src/main/res/values/strings.xml,8
app/src/main/res/values/styles.xml,5
rootbeerlib/src/main/cpp/CMakeLists.txt,2
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/Utils.java,6
rootbeerlib/src/main/AndroidManifest.xml,5
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,10
rootbeerlib/src/main/cpp/toolChecker.cpp,1
rootbeerlib/src/main/cpp/toolChecker.h,1
rootbeerlib/src/main/jni/Android.mk,6
rootbeerlib/src/main/jni/Application.mk,8
rootbeerlib/src/main/jniLibs/arm64-v8a/libtool-checker.so,13
rootbeerlib/src/main/jniLibs/armeabi-v7a/libtool-checker.so,19
rootbeerlib/src/main/jniLibs/x86/libtool-checker.so,17
rootbeerlib/src/main/jniLibs/x86_64/libtool-checker.so,13
app/src/main/ic_launcher-playstore.png,1
app/src/main/res/mipmap-hdpi/ic_launcher.png,4
app/src/main/res/mipmap-hdpi/ic_launcher_foreground.png,1
app/src/main/res/mipmap-hdpi/ic_launcher_round.png,1
app/src/main/res/mipmap-mdpi/ic_launcher.png,4
app/src/main/res/mipmap-mdpi/ic_launcher_foreground.png,1
app/src/main/res/mipmap-mdpi/ic_launcher_round.png,1
app/src/main/res/mipmap-xhdpi/ic_launcher.png,4
app/src/main/res/mipmap-xhdpi/ic_launcher_foreground.png,1
app/src/main/res/mipmap-xhdpi/ic_launcher_round.png,1
app/src/main/res/mipmap-xxhdpi/ic_launcher.png,4
app/src/main/res/mipmap-xxhdpi/ic_launcher_foreground.png,1
app/src/main/res/mipmap-xxhdpi/ic_launcher_round.png,1
app/src/main/res/mipmap-xxxhdpi/ic_launcher.png,3
app/src/main/res/mipmap-xxxhdpi/ic_launcher_foreground.png,1
app/src/main/res/mipmap-xxxhdpi/ic_launcher_round.png,1
app/src/main/res/values/ic_launcher_background.xml,1
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,11
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,14
app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,7
app/src/main/res/drawable-hdpi/ic_info_outline_white_18dp.png,2
app/src/main/res/drawable-hdpi/ic_info_outline_white_24dp.png,2
app/src/main/res/drawable-hdpi/ic_info_outline_white_36dp.png,2
app/src/main/res/drawable-hdpi/ic_lock_open_white_24dp.png,2
app/src/main/res/drawable-mdpi/ic_info_outline_white_18dp.png,2
app/src/main/res/drawable-mdpi/ic_info_outline_white_24dp.png,2
app/src/main/res/drawable-mdpi/ic_info_outline_white_36dp.png,2
app/src/main/res/drawable-mdpi/ic_lock_open_white_24dp.png,2
app/src/main/res/drawable-xhdpi/ic_cross_red_24dp.png,2
app/src/main/res/drawable-xhdpi/ic_info_outline_white_18dp.png,2
app/src/main/res/drawable-xhdpi/ic_info_outline_white_24dp.png,2
app/src/main/res/drawable-xhdpi/ic_info_outline_white_36dp.png,2
app/src/main/res/drawable-xhdpi/ic_lock_open_white_24dp.png,2
app/src/main/res/drawable-xhdpi/ic_tick_green_24dp.png,2
app/src/main/res/drawable-xxhdpi/ic_info_outline_white_18dp.png,2
app/src/main/res/drawable-xxhdpi/ic_info_outline_white_24dp.png,2
app/src/main/res/drawable-xxhdpi/ic_info_outline_white_36dp.png,2
app/src/main/res/drawable-xxhdpi/ic_lock_open_white_24dp.png,2
app/src/main/res/drawable-xxxhdpi/ic_info_outline_white_18dp.png,2
app/src/main/res/drawable-xxxhdpi/ic_info_outline_white_24dp.png,2
app/src/main/res/drawable-xxxhdpi/ic_info_outline_white_36dp.png,2
app/src/main/res/drawable-xxxhdpi/ic_lock_open_white_24dp.png,2
app/src/main/res/drawable/pint_glass.png,2
app/src/main/res/layout/content_main.xml,6
app/src/main/res/values-w820dp/dimens.xml,3
app/src/main/res/values/attrs.xml,4
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,24
rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,13
rootbeerlib/src/main/res/values/strings.xml,2
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,53
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/QLog.java,12
app/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,6
rootbeerlib/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,6
rootbeerlib/src/main/jniLibs/armeabi/libtool-checker.so,12
rootbeerlib/src/main/jniLibs/mips/libtool-checker.so,12
rootbeerlib/src/main/jniLibs/mips64/libtool-checker.so,8
rootbeerlib/src/main/jni/toolChecker.cpp,5
rootbeerlib/src/main/jni/toolChecker.h,4
app/src/main/assets/SubwayNovella.ttf,1
app/src/main/res/drawable-hdpi/ic_action_github.png,2
app/src/main/res/drawable-xhdpi/ic_action_github.png,2
app/src/main/res/drawable-xxhdpi/ic_action_github.png,2
rootbeerlib/src/main/jniLibs/armeabi-v7a/libroot-checker.so,2
app/src/main/java/com/scottyab/rootchecker/RootCheck.java,6
app/src/main/java/com/scottyab/rootchecker/Const.java,1
app/src/main/java/com/scottyab/rootchecker/MainActivity.java,4
app/src/main/java/com/scottyab/rootchecker/RootCheckNative.java,3
app/src/main/jniLibs/armeabi-v7a/libroot-checker.so,2
app/src/main/jniLibs/armeabi-v7a/libtool-checker.so,2
app/src/androidTest/java/com/scottyab/rootchecker/ApplicationTest.java,1
app/src/main/java/com/scottyab/rootchecker/util/QLog.java,1
